round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,0.13664624907011003,0.9031758447836714,0.9415204538936504,0.09741293710080823,0.9552928931150005,0.9623115532961323,elu,20,0.0,200,20,5,random_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Nadam'>,triangle
100,0.11187604148136943,0.0,0.6608187211187262,0.12102694899293047,0.1160794273393238,0.5879397041833581,elu,36,0.8,100,40,4,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,triangle
200,5.4669564592908,0.0,0.6608187078732496,6.236650320752781,0.0,0.61306532813077,elu,20,0.0,200,20,0,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.24377312436046308,0.8001873001717684,0.9064327541150545,0.25801372236511366,0.8526064816431783,0.912060304502746,relu,12,0.1,150,20,5,glorot_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.17771509167743704,0.8969174254010295,0.9356725142713178,0.14378498260624445,0.9214263372684843,0.9396984906651866,elu,44,0.0,100,40,3,random_normal,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.14713036600086424,0.0,0.6608187078732496,0.13444412503410225,0.11483540022792528,0.61306532813077,relu,20,0.8,200,30,2,random_uniform,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.SGD'>,brick
50,0.10796366200635307,0.0,0.660818716587379,0.11434335141774997,0.08131304293421644,0.6155778903457987,relu,28,0.8,50,30,3,random_uniform,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.24381914726126264,0.8466043301493104,0.9122807136056019,0.1777489044128121,0.8935197256318289,0.9195979941430403,elu,44,0.1,100,30,4,random_normal,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,brick
50,0.28665054471869217,0.5001515275553653,0.33918128515544693,0.26677520625555334,0.5470827191918339,0.38693467726060493,elu,36,0.1,50,10,1,glorot_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.034095561796287345,0.8570331648776406,0.9181286560164558,0.028240081624843965,0.8791598878314147,0.9145728601283164,elu,44,0.0,100,10,2,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adadelta'>,funnel
