round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,0.06091058447038958,0.6004486459126405,0.8180094784469966,0.059498915708389576,0.6301575552298256,0.8183665180148172,relu,128,0.3,200,128,0,glorot_uniform,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Nadam'>,brick
150,0.946241726920503,0.4913701367039251,0.7545023704027113,0.16031387007815331,0.8725281474746276,0.9311255587159691,relu,256,0.0,150,64,1,glorot_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.07198267200546807,0.19240430625976546,0.7706161140265623,0.08210374713731171,0.35691427602025855,0.7651361238418775,relu,256,0.6,200,128,1,glorot_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.41281461365415023,0.6066235312353379,0.8236966826904442,0.4210521480093541,0.5862643848779191,0.80048760649442,elu,128,0.7,150,128,2,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Nadam'>,triangle
150,0.06243734876691447,0.5884047589595849,0.8161137438498403,0.07086019462889552,0.5223888825081752,0.7860625763096397,relu,128,0.8,150,128,1,random_normal,sigmoid,logcosh,4,dense,<class 'keras.optimizers.SGD'>,brick
200,0.44407708277634533,0.0,0.7511848344057093,0.4984520617319965,0.3771956708556217,0.7679804959998582,elu,256,0.6,200,256,1,random_uniform,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Adadelta'>,funnel
150,0.07013581383849772,0.3809866978376398,0.7843601894039678,0.06728580700326674,0.5633821911029049,0.8108492483941582,relu,64,0.3,150,256,1,glorot_uniform,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.42367309444888507,0.5860166387535385,0.8146919424499945,0.4507023482509669,0.3946098789409233,0.7716375458584429,elu,64,0.6,200,64,4,glorot_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.47826299605211375,0.0,0.7511848344057093,0.544510349443607,0.2464891406202258,0.7433969929953602,elu,128,0.7,100,256,5,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.SGD'>,funnel
100,0.10793126904851452,0.0,0.7511848344057093,0.11844809950366827,0.0,0.7269402682805439,elu,64,0.0,100,256,4,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adam'>,brick
100,0.08740484516061313,0.0,0.7511848344057093,0.09304392619352911,0.0,0.7269402683047635,elu,256,0.8,100,256,5,glorot_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.10793126904851452,0.0,0.7511848344057093,0.13457607659248258,0.13183891237363346,0.6897602599600087,relu,64,0.6,150,128,5,random_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Nadam'>,brick
200,1.3912114109473206,0.5208764323691056,0.757819905382762,0.1512352090596862,0.8944954759267616,0.9404713531327121,relu,256,0.0,200,64,5,glorot_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adadelta'>,funnel
